Название,Описание,Навыки,Опыт работы,Премиум-вакансия,Компания,Оклад,Название региона,Дата публикации вакансии
Аналитик (продукт-менеджер / маркетолог),"Avestra – международная компания, один из крупнейших поставщиков нефтехимической продукции на мировом рынке. Офисы компании успешно работают в России, Европе, ОАЭ, Индии и Китае. В связи с активным развитием направления ищем к себе в команду Аналитика (Продукт – менеджера, маркетолога). Мы предлагаем:  Работу в международной компании Достойную оплату труда (уровень дохода обсуждается по итогам собеседования) Офис в центре города (Арбат) Компенсацию расходов на мобильную связь Полис ДМС Комфортные условия работы Возможность профессионального развития  Ключевые задачи:  Анализ рынков (как мировых, так и российского) нефтехимических продуктов (операционный и стратегический анализ) Прогнозирование ключевых рыночных метрик (котировки, индикаторы, баланс рынка) Обработка различных массивов данных с рыночной информацией и формирование выводов на их основе Подготовка аналитических материалов Участие в разработке продуктовых стратегий Работа с входящими запросами от потенциальных поставщиков и покупателей продукции (1-ая линия) Организация регулярной рассылки коммерческих предложений и сбор обратной связи от клиентов Консолидация и анализ информации от поставщиков и покупателей в CRM Взаимодействие с поставщиками аналитической информации (в т. ч. контрактация и бюджетирование) Организация участия сотрудников коммерческого блока в профильных конференциях (в т. ч. контрактация и бюджетирование) Организация регулярного сбора и обмена рыночной информацией между региональными офисами и корпоративным центром Разработка, актуализация и развитие инструментов план-факторного анализа (в коммерческой деятельности) совместно с блоком финансов, логистики Автоматизация и цифровизация аналитической деятельности  Требование:  Высшее образование (экономическое, техническое или химическое - преимущество) Опыт работы аналитиком/маркетологом от 3-х лет в аналитическом агентстве и/или inhouse в нефтехимической компании (производитель/трейдер) ОБЯЗАТЕЛЬНО!!! Понимание основных экономических и финансовых аспектов производственной деятельности в нефтехимической отрасли Понимание цепочки создания добавленной стоимости в международной торговле (B2B), международной логистике; логики построения продуктовых балансов и международном ценообразовании","MS PowerPoint, Анализ рынка, Английский язык, Прогнозирование, Аналитическое мышление, Аналитика",От 3 до 6 лет,Нет,Avestra Group,70 000 - 150 000 (Рубли) (С вычетом налогов),Москва,17:47:14 31/05/2022
Старший специалист по техническому сопровождению проекта,"Запуск нового месторождения Сухо́й Лог — крупнейшее по запасам золоторудное месторождение в мире. Обязанности: В рамках управления инженерно-технической документацией:  обеспечить контроль поступления на площадку ПСД в необходимом объеме для выполнения работ в соответствии с календарно сетевым графиком, участвовать в экспертизе ПСД на предмет технологичности строительно-монтажных работ (в пределах площадки), обоснованности оценки потребности в ресурсах для их выполнения, плановой длительности и т.п., обеспечивать планирование графика разработки подрядными организациями организационно-технологических документов, необходимых для производства ими работ, контролировать его исполнение, инициировать проверку качества разрабатываемой документации, контролировать документооборот в рамках строительства, обеспечивать архивацию/передачу Заказчику проекта необходимой инженерно-технической и организационно-технологической документации по объектам, вводимым/введенным в эксплуатацию.  В рамках управления комплектацией оборудованием и материалами для ведения строительно-монтажных работ:  участвовать в планировании потребности в МТР, определении целевых сроков поставки, контролировать качество связи поставок с работами в КСГ проекта, вести контроль исполнения плана поставки, участвовать в управлении изменениями в плане поставки;  В рамках управления строительством, пуско-наладкой и передачей в эксплуатацию:  готовить предложения по контрактной стратегии в строительстве, формулировать требования к результатам СМР и порядку взаимодействия с подрядными организациями, инициировать тендерные процедуры по их выбору, и заключение соответствующих контрактов, оценивать потребность в ресурсах подрядных организаций и достаточность имеющихся у них ресурсов для выполнения заданных объемов работ в установленные сроки, оперативно управлять подрядными организациями на площадках строительства, в том числе номинировать подрядным организациям планы/графики производства работ на заданный учетно-отчетный период (неделю, месяц, квартал), контролировать статус исполнения данных графиков, выявлять проблемы и риски, приводящие к невозможности их исполнения в заданные сроки, минимизировать влияние негативных факторов, управлять содержанием графиков, изменяя состав/объемы запланированных работ и последовательность их выполнения и пр., фиксировать факт исполнения физических объемов работ, определять остаток работ к выполнению, прогнозировать длительность выполнения работ и цепочек работ, контролировать работы критического пути, обеспечивать расчет прогресса проекта, организовывать освидетельствование фактически выполненных объемов работ с подписанием актов освидетельствования скрытых работ, актов приемки ответственных конструкций и других технических актов, организовывать приемку выполненных объемов работ на объектах строительства, обеспечивать согласование и визирование журнала учета выполненных работ (форма КС-6а), актов о приемке выполненных работ (форма КС-2), обеспечить соответствие выполняемых работ, техническим решениям, отраженным в проектной документации, способствовать внедрению передовых методов организации и выполнения работ, готовить актуальную информацию о статусе ведения работ и подтверждающие материалы для проведения технических совещаний, штабов стройки и т.п., участвовать в оформлении, обеспечивать согласование и утверждение актов приемки законченных строительством объектов, готовить объективную и актуальную информацию и материалы, необходимые для взаимодействия с органами власти, в том числе, на основании доверенностей, выданных в установленном порядке, обеспечить формирование исполнительной документации в процессе строительства и передачу ее Бизнес-заказчику проекта по законченным строительством объектам, входящим в состав проекта, в установленном порядке. Вести контроль исполнения плана комплектации исполнительной документации и ее передачи;  В рамках обеспечения качества ведения работ:  контролировать исполнение процедур визуального и инструментального контроля результатов работ, контроля скрытых работ, контролировать исполнение процедур входного контроля оборудования и материалов, вести контроль заполнения обязательных журналов работ на площадках строительства, урегулировать конфликты, возникающие в отношении качества выполненных работ и их соответствия документации и действующим нормам, при необходимости, инициировать изменения;  В рамках планирования и контроля проекта (управление графиком, управление договорами, управление рисками, управление изменениями):  определять последовательность и длительность выполнения работ, отражаемых в КСГ проекта, осуществлять контроль качества и актуальности разработанного КСГ проекта, предлагая изменения, предоставлять сведения для формирования графиков производства работ, включаемых в договоры с подрядными организациями, согласовывать условия заключаемых договоров, выдавать подрядным организациям производственные задания на учетно-отчетный период (неделю, месяц, квартал), контролировать качество и актуальность графиков производства работ, разрабатываемых подрядными организациями, выявлять противоречия между графиками заказчика и подрядчика, между графиками подрядчика и производственным заданием, согласовывать подрядным организациям изменения, инициировать необходимые корректировки в графиках, управлять рисками СМР, в том числе, контролируя статус компетенций и статус наличия людских и материальных ресурсов у подрядных организаций, исполнение ими плана поставок ТМЦ (в зоне ответственности подрядчика), способность завершения ими запланированного объема работ в заданные сроки, статус обеспечения площадок РД, статус комплектации оборудованием / материалами поставки заказчика и пр. контролировать и анализировать изменения внешних и внутренних факторов, влияющих на СМР проекта, инициировать изменения в проекте (в части, относящейся к СМР). Участвовать в ведении накопительного реестра изменений и реестра принятых по проекту решений.  Требования:  высшее образование; опыт реализации и непосредственного управления проектами промышленного строительства не менее 5 лет; опыт организационного и технического сопровождения проектов строительства; готовность к командировкам; уверенный пользователь MS Office (Power Point), Primavera.  Условия:  офис в центре Москвы (м. Пушкинская/Тверская); официальное трудоустройство в соответствии с ТК РФ, &quot;белая&quot; заработная плата; работа в стабильной компании; уровень заработной платы по результатам собеседования (оклад + годовой бонус); ДМС, страхование жизни, оплата питания.","Техническое обслуживание, Настройка ПК, Ремонт ПК, Настройка сетевых подключений, Настройка ПО",Более 6 лет,Нет,Полюс,70 000 - 150 000 (Рубли) (С вычетом налогов),Москва,17:47:32 31/05/2022
Lead Front-end Developer (Angular),"Unlimint – это международная финтех компания, основанная в 2009 году, с 16 офисами по всему миру и более чем 400 сотрудниками, предоставляющая своим клиентам большое портфолио различных финансовых сервисов – от эквайринга (обслуживания онлайн платежей) до банковских услуг.Наша миссия – быть готовыми к «завтрашнему дню», предоставляя нашим клиентам стабильность в динамичном мире финансов и давая им возможность быть готовыми к любым переменам.Наш главный секрет успеха — это неравнодушие наших сотрудников к продукту. Мы знаем, что результатов достигает только тот, кто искренне любит свою работу, поэтому ценим специалистов, увлеченных делом. В нашей команде нет “случайных” людей. И мы в свою очередь делаем все, чтобы они чувствовали, что их ценят.Наш стэк: Angular 12, TypeScript, RxJS, SCSS, Keycloak, ngxs, ngrx, ExtJS, ag-grid. Основные задачи:  Разработка и развитие внутренних продуктов и сервисов; Проектирование архитектуры проектов и проработка архитектуры со смежными подразделениями; Обсуждение требований и участие в планировании развития продукта; Координация и техническое лидирование команды frontend разработчиков; Участие в найме сотрудников в команду; Рефакторинг и оптимизация существующего кода; Реализация критических компонентов экосистемы - написание кода с использованием современных технологий\стеков\фреймворков; Код-ревью; Написание unit-тестов.  Мы ожидаем, что вы обладаете:  Опытом работы в роли Team-/Tech Lead`а от 2-х лет; Уверенное знание и понимание современного JavaScript; Знание английского языка на уровне B2 - C1 знание верстки, опыт использования последних возможностей CSS; уверенное использование дев тул браузера: профайлинг, дебаг, поиск проблемных кусков кода; Опытом работы по гибким методологиям; Опытом построения решений в сервисной архитектуре; Опытом в проектировании систем; Умением грамотно и четко доносить свою точку зрения; Чувство прекрасного и базовые принципы UX Опыт работы в гибких методологиях; Уверенный пользователь Jira/Confluence.  Что мы предлагаем:  Трудоустройство по ИП Полностью оплачиваемый больничный и отпуск Компенсация английского и спорта ДМС Премии Мы оплачиваем посещения тренингов и конференций, закупаем полезную литературу, запускаем внутренние и внешние обучающие программы Комфортные условия работы, гибкость в принятии решений, поддержка инициатив сотрудников","JavaScript, CSS, Atlassian Confluence, Teamleading",От 1 года до 3 лет,Нет,Unlimint,70 000 - 150 000 (Рубли) (С вычетом налогов),Санкт-Петербург,14:40:42 27/06/2022
Analyst,"Мы в Space307 разрабатываем международную торговую платформу. Каждый день у нас в онлайне 255 тысяч уникальных пользователей из 100+ стран. У нас плоская структура и нет просто исполнителей. Каждый из нас — спец в своей области, и принцип работы простой: к нам приходят с проблемой, а мы отвечаем решением. Наш проект с большим количеством фич и вся разработка ведется в кросс-функциональных командах. Мы ищем  Аналитика в команду Billing. Команда работает с платежными системами, расчетом комиссии на платформе и контролируют подключение новых способов оплаты. Чем предстоит заниматься?   Подготавливать данные для анализа;   Разрабатывать и составлять аналитическую отчетность по платежным системам и методам;   Разрабатывать и следить за метриками платежных систем;   Строить предиктивные модели;   Создавать BI-отчетность;   Проводить исследования;   Ключевые теги проекта:SQL, Python / R, Qlik, Excel/Google Sheets, Google Analytics; Мы ждем, что ты:   Умеешь писать сложные SQL запросы;   Обладаешь опытом визуализации в Python / R;   Умеешь анализировать большие массивы данных;   Знаешь как строить и имплементировать регрессионные модели;   Умеешь и готов работать с большими объемами информации в режиме многозадачности;   Понимаешь основы движения данных от источников к метрикам;   Будет плюсом:   Опыт работы в billing/payments-командах, опыт анализа платежных систем;   Опыт взаимодействия с командами разработки, умение составлять технические задания;   Понимание продуктовых, маркетинговых и бизнес-метрик;   Опыт работы с системами визуализации данных (QlikSense, Tableau, PowerBI и прочие);   Знание других языков программирования;   Что тебя ждёт в Space307:  Честность, прозрачность и отсутствие бюрократии; Структура, в которой нет «СЕО минус четыре» — мы все равны и каждый отвечает за результат; Безграничная забота со стороны компании: ДМС с первого дня, компенсация занятий спортом, изучения английского, фрукты-овощи-вкусняшки в офисе в неограниченных количествах; Мероприятия на любой вкус: тренинги, семинары, конференции, лекции, мастер-классы. А также тимбилдинги и корпоративы, впечатляющие своим масштабом; Хакатоны, марафоны, квесты и турниры: коллеги объединяются в команды, создают крутые идеи и проекты и получают за это не менее крутые призы; Настоящая команда: здесь дают честный фидбэк, приходят на помощь и болеют за результат; Комфорт и достойные условия: гибкий график, возможность работать удалённо, уютный зеленый офис класса А в центре города у метро «Горьковская» и, конечно же, конкурентный уровень заработной платы;","SQL, Tableau, Python, Анализ данных, Английский язык",От 3 до 6 лет,Нет,Space307,70 000 - 150 000 (Рубли) (С вычетом налогов),Санкт-Петербург,17:47:49 31/05/2022
Мастер по ремонту майнинг-оборудования (asic),"Обязанности:  Пайка SMD-компонентов; Отклеивание и приклеивание радиаторов от чипов; Поэтапная диагностика, выявление неисправных чипов, восстановление цепей питания.  Требования:  Умение читать схемы, знание основ электроники; Опыт работы желателен.  Условия:  Комфортабельное оборудованное рабочее место; Достойный фиксированный оклад, плюс проценты (нет потолка); Бесплатные обеды; Оплачиваемое обучение и рост.","Пользователь ПК, Работа в команде, Электроника, MS Paint, Пайка",От 1 года до 3 лет,Нет,Электроснаб,70 000 - 150 000 (Рубли) (С вычетом налогов),Махачкала,17:47:55 31/05/2022
Мастер по ремонту майнинг-оборудования (asic),"Обязанности:  Пайка SMD-компонентов; Отклеивание и приклеивание радиаторов от чипов; Поэтапная диагностика, выявление неисправных чипов, восстановление цепей питания.  Требования:  Умение читать схемы, знание основ электроники; Опыт работы желателен.  Условия:  Комфортабельное оборудованное рабочее место; Достойный фиксированный оклад, плюс проценты (нет потолка); Бесплатные обеды; Оплачиваемое обучение и рост.","Пользователь ПК, Работа в команде, Электроника, MS Paint, Пайка",От 1 года до 3 лет,Нет,Электроснаб,70 000 - 150 000 (Рубли) (С вычетом налогов),Буйнакск,17:47:55 31/05/2022
Аналитик данных,"Присоединяйтесь к нашей команде и постройте успешную карьеру в международной технологической компании! Bell Integrator – международная компания, предоставляющая традиционные технологические услуги и инновационные сервисы. С 2003 года мы предоставляем клиентам широкий спектр сервисов и решений в области инновационных технологий. ПРОЕКТ: Ищем специалиста в Платформу Данных Корпоративно-инвестиционного блока на позицию Data analyst для построения витрин данных. ТРЕБОВАНИЯ:  Опыт работы на позиции системного или бизнес- аналитика в Банке или крупной другой компании из сферы Retail или Telecom от 2-Зх лет; Знание SQL и Python библиотек; Умение работать в команде.    ЖЕЛАТЕЛЬНЫЕ ТРЕБОВАНИЯ:  Опыт программирования Знание одной или несколько технологий: Java, Spark, Kafka, Flink, Ignite, NiFi Знание современных принципов ИТ-архитектуры Опыт участия в проектах и задачах, связанных с выводом решений в промышленную эксплуатацию; Понимание составляющих системы Hadoop.    ОБЯЗАННОСТИ:  Предлагается участие в полном производственном цикле Формализация и согласование требований в заданные сроки Разработка кейсов на фреймворках Участие в цикле тестирования и приемо-сдаточных испытаниях Взаимодействие со смежными командами    УСЛОВИЯ:  Конкурентную заработную плату; Оформление в соответствии с ТК РФ; Работа в дружной и профессиональной команде; Есть возможность работать удаленно по Московскому времени","SQL, Python, Data Analysis",От 1 года до 3 лет,Нет,Bell Integrator,70 000 - 150 000 (Рубли) (С вычетом налогов),Екатеринбург,13:27:24 15/06/2022
DevOps инженер в Digital компанию (маркетплейс),"Проект по созданию уникального Маркетплейса – экосистемы в сфере энергетики. Глобальная задача - разработать единую платформу, удобную для 50 миллионов клиентов и решающую задачи крупнейшего в России энергетического бизнеса. На базе этой платформы планируется запуск новых продуктов в таких направлениях, как: • «умный дом», • электронная коммерция, • бытовые услуги для жильцов, • виртуальный мобильный оператор, • финансовые сервисы, • экосистема электрозаправок и многое другое. Что мы с радостью предложим:• Современный стек технологий: облака Yandex, сервисы в Managed Kubernetes, Managed Databases;• Команда программистов, умеющая работать с современным технологическим стеком, опытом написания Cloud Native сервисов; Задачи:• Построение облачной инфраструктуры с максимальной степенью автоматизации;• Обеспечение работы облачной инфраструктуры;• Мониторинг облачной инфраструктуры;• Работа в команде с другими системными администраторами/devops инженерами;• Взаимодействие с подразделением разработки ПО;• Планирование развития инфраструктуры и ее поддержка;• Поддержка команд разработчиков ci/cd; Пожелания к опыту:• Понимание работы облачных технологий Yandex Cloud, AWS, построения отказоустойчивых инфраструктур на базе облаков;• Знание Managed Kubernetes;• Уверенное знание контейнерной виртуализации Docker, Kubernetes;• Уверенное знание Linux (CentOS)/Windows Server;• Опыт настройки CI/CD GitLab-CI;• Опыт работы с Git;• Понимание работы систем мониторинга - ELK, Prometheus, Grafana и др;• Опыт работы с системами управления проектами и документацией (Jira, Confluence и т.п.);   Условия:  • Соблюдение ТК РФ • Уровень заработной платы обсуждается с успешным кандидатом. • 20 % годовой бонус (зависит от личных KPI и результатов деятельности компании) • Социальный пакет(ДМС, пр.). • Адекватное руководство. • Гибкое начало рабочего дня; • Офис находится в районе м. Спортивная, Фрунзенская в шаговой доступности.","Docker, Git, Linux, Kubernetes, Atlassian Jira",От 3 до 6 лет,Нет,"ASAP Solutions International Co, Ltd",70 000 - 150 000 (Рубли) (С вычетом налогов),Москва,17:48:47 31/05/2022
Токарь-универсал,"Обязанности: - Механическая обработка деталей согласно чертежам.- Изготовление деталей различного уровня сложности. Требования:  Знание токарных станков Техническое образование Ответственность, исполнительность, внимательность к деталям  Условия:  Оформление в соответствии с ТК РФ Стабильно развивающаяся компания, дружный коллектив Пятидневный график работы с 8:00 до 16:45 Своевременная выплата заработной платы 2 раза в месяц Теплые производственные помещения","Техническое обслуживание, Настройка ПК, Ремонт ПК, Настройка сетевых подключений, Настройка ПО",От 1 года до 3 лет,Нет,Инкон Сервис,80 000 - 200 000 (Рубли) (С вычетом налогов),Санкт-Петербург,17:48:51 27/06/2022
Marketing Project Manager,"We are launching an IT education project for adults in Cyprus and online. Marketing project manager will oversee the launch of our new product from start. We need a responsible person who is passionate about his deeds, proactive, able to make decisions and take responsibility for his work, ready to be flexible in a changing advertising market and a quick response.Обязанности:  Create and Develop of marketing strategies, lead generation and increasing the flow of new customers; Market research, the formation of a product roadmap; Formulate and refine the brand strategy, positioning and value proposition for the project Structure and plan all digital marketing campaigns including SEM, SEO and SMM Plan of the advertising budget by channel, control, and optimization of advertising costs Generate new leads monthly by modifying and changing the approaches for campaigns Analysis of marketing activities, budget by category and analyse ROI for each marketing function, development of strategies to improve efficiency which help to improve online and offline sales (content marketing, contextual and search advertising, SMM, bloggers, PR); Seek growth tactics, and implement A/B testing with the content and marketing strategy. Create and develop SM channels for the project (Website, Facebook, Instagram, Telegram) Evaluating and conducting analytics on channels&#39; performance. Work closely with managing partners to define the marketing and branding objectives for the company  Требования:  3-5 years experience in digital marketing;​​​​(experience in online and offline education will be an advantage) Availability of implemented cases; Fluent English and Russian speaker; Knowledge of modern methods and technologies of marketing and advertising campaigns in all promotion channels (Internet, outdoor advertising, e-mail, social networks, exhibitions); Creativity, organizational skills; The ability to draw up and justify a media plan, calculate the budget of an advertising campaign; The ability to work with analytics systems will be an advantage;  Условия:  Location: Limassol, Cyprus; offline, full-time, An enthusiastic team and interesting cases; Work closely with managing partners to define the marketing and branding objectives for the company Training and development Medical insurance in Cyprus","Marketing Analysis, Strategic Marketing, Digital Marketing, Social Media Marketing, Internet Marketing",От 3 до 6 лет,Нет,Robolab,70 000 - 150 000 (Рубли) (С вычетом налогов),Кипр,17:48:54 31/05/2022
Бизнес-аналитик,"Проекты: 1.Модификация кредитного модуля 2.Доработка интеграций с БКИ (в связи с новыми постановлениями и приказами ЦБ) 3. Участие в проектах по миграции данных из банков, после отзыва лицензии   Обязанности:  Анализ бизнес-требований Подготовка описания реализации для бизнес заказчика Согласование вариантов реализации в рамках существующего ПО Подготовка оценки работ Разработка ТЗ Работа с JIRA и Confluence Контроль реализации ПО и анализ ошибок в рамках проекта Участие в презентациях и ПСИ  Требования:  Опыт работы в брокерской/финансовой/банковской сфере от 2-х лет Участие в проектах разработки и внедрения IT-систем в качестве бизнес аналитика Опыт написания и согласования функциональных / нефункциональных требований, технических заданий, программ и методик ведения приемо-сдаточных испытаний Понимание процесса выявления бизнес-требований и разработки системных требований Знание баз данных (схемы базы данных, простейшие запросы) Знание основ межсистемной интеграции Знание структуры и назначений разделов технической документации  Будет плюсом:  Знание нотаций описания бизнес-процессов и функциональностей (BPMN 2.0, UML и другие) Опыт работы с Oracle, PL/SQL, чтение код Oracle и PL/SQL  Условия:  Конкурентная заработная плата (по итогам технического интервью)  Оформление в соответствии с ТК РФ Комбинированный формат работы (м. Таганская)","Техническое обслуживание, Настройка ПК, Ремонт ПК, Настройка сетевых подключений, Настройка ПО",От 1 года до 3 лет,Нет,Bell Integrator,70 000 - 150 000 (Рубли) (С вычетом налогов),Москва,13:26:59 15/06/2022
Куратор проекта,"На новый проект крупной российской IT-компании требуются кураторы: Обязанности:  первоначальный контакт/вводная беседа с привлеченными агентами проекта; сопровождение на этапе обучения (по телефону, электронной почте, в мессенджерах); отправка агентам материалов и актуальной информации, необходимой для продаж; напоминание агентам об офлайн-мероприятиях; проведение регулярных встреч (планерок) с подотчетной группой; контроль распределения базы потенциальных клиентов; кураторство в вопросах продаж; помощь агенту с закрытием сделки.  Требования:  опыт личных (очных) продаж от года; опыт кураторства и/или руководства людьми; опыт работы в рекламных агентствах и корпорациях будет преимуществом; уверенный пользователь ПК; грамотная речь, коммуникабельность.  Условия:  неполный рабочий день (около 20 часов в неделю), возможно совмещение с другой работой; обучение за счет работодателя; официальное оформление по договору ГПХ; белая заработная плата.","Пользователь ПК, Работа в команде, Навыки продаж",От 1 года до 3 лет,Нет,ANCOR,30 000 - 30 000 (Рубли) (С вычетом налогов),Пермь,09:18:13 08/06/2022
